"Contrast","Feature","N","N_subjects","N_excluded","singular","path_a_coef","path_a_se","path_a_t","path_a_df","path_a_p","path_a_p_adj","path_a_CI_lo","path_a_CI_hi","path_a_d"
"TICue_vs_SoundOnly","central_so_spindle",3199,28,0,FALSE,0.0560136907022378,0.0350176210156087,1.59958583929132,3182.42261801053,0.109789755706553,0.35132721826097,-0.0126456982369372,0.124673079641413,0.0560136907022378
"TICue_vs_SoundOnly","central_delta_spindle",3199,28,0,FALSE,-0.0646578677544708,0.0353474039180293,-1.82921121744648,3196.47520659958,0.0674610844165835,0.274793766134441,-0.13396374930298,0.00464801379403866,-0.0646578677544708
"TICue_vs_SoundOnly","posterior_delta_spindle",3199,28,0,FALSE,0.0403076233444824,0.0353594118910095,1.13994043421098,3196.58784140316,0.254396524498143,0.581477770281469,-0.029021801388305,0.10963704807727,0.0403076233444824
"TICue_vs_SoundOnly","right_temporal_spindle_peak_freq",3199,28,0,FALSE,-0.00899796429470522,0.0345330255565745,-0.260561133861964,3175.70447083975,0.794447858570388,0.964535303795869,-0.0767072567177161,0.0587113281283056,-0.00899796429470522
"TICue_vs_SoundOnly","left_temporal_spindle_peak_freq",3199,28,0,FALSE,-0.00210317252373952,0.0344668971968496,-0.0610200712796321,3176.06154139668,0.951347063572085,0.964535303795869,-0.0696828034297294,0.0654764583822504,-0.00210317252373952
"TICue_vs_SoundOnly","frontal_central_so_spindle",3199,28,0,FALSE,0.00572464111249639,0.0348018034650498,0.164492656774108,3180.07400392932,0.86935378127023,0.964535303795869,-0.0625116114372231,0.0739608936622159,0.00572464111249639
"TICue_vs_SoundOnly","right_temporal_so_spindle",3199,28,0,FALSE,0.0339989904478808,0.0353289285173186,0.962355550387386,3192.12749731324,0.335943925833148,0.661129631837323,-0.0352707020017265,0.103268682897488,0.0339989904478808
"TICue_vs_SoundOnly","posterior_sigma_burst_amp",3199,28,0,FALSE,0.0492008622721315,0.0347104116567484,1.41746697672961,3180.02644901594,0.156444411615303,0.417185097640808,-0.0188561978103745,0.117257922354637,0.0492008622721315
"TICue_vs_SoundOnly","left_temporal_delta_spindle",3199,28,0,FALSE,-0.0015728328292304,0.0353711574861335,-0.0444665354773022,3196.59132843268,0.964535303795869,0.964535303795869,-0.0709252871967394,0.0677796215382786,-0.0015728328292304
"TICue_vs_SoundOnly","right_temporal_delta_spindle",3199,28,0,TRUE,-0.031584839219591,0.0353664784881807,-0.893072778793809,3197.0000000246,0.371885417908494,0.661129631837323,-0.10092811608837,0.0377584376491885,-0.031584839219591
"TICue_vs_SoundOnly","central_aperiodic",3199,28,0,FALSE,0.119654796153253,0.0344577798671704,3.47250451464094,3175.88999113213,0.000522511926579657,0.00836019082527451,0.0520930403062798,0.187216552000226,0.119654796153253
"TICue_vs_SoundOnly","left_temporal_so_spindle",3199,28,0,FALSE,0.0643782868825776,0.0353530238156461,1.82101217758029,3196.74400933338,0.0686984415336102,0.274793766134441,-0.00493861142738448,0.13369518519254,0.0643782868825776
"TICue_vs_SoundOnly","frontal_delta_spindle",3199,28,0,FALSE,0.0224880094902429,0.0353689037955678,0.635813018696411,3196.99244680556,0.524943811070111,0.839910097712178,-0.0468600227560407,0.0918360417365266,0.0224880094902429
"TICue_vs_SoundOnly","occipital_delta_spindle",3199,28,0,FALSE,-0.0103879543985978,0.0353631139354178,-0.293751122075076,3196.13811544715,0.768967160156217,0.964535303795869,-0.0797246414490075,0.058948732651812,-0.0103879543985978
"TICue_vs_SoundOnly","posterior_spindle_peak_freq",3199,28,0,FALSE,-0.0955454518842641,0.0334156666260291,-2.85930108633054,3173.3779975005,0.00427346638299586,0.0341877310639669,-0.16106394437235,-0.0300269593961785,-0.0955454518842641
"TICue_vs_SoundOnly","posterior_theta_power",3199,28,0,FALSE,0.00595762760816851,0.0342828908342737,0.173778449342798,3176.66747551557,0.862050654230754,0.964535303795869,-0.06126121507628,0.0731764702926171,0.00595762760816851
"TIB4Cue_vs_SoundOnly","central_so_spindle",3097,28,0,FALSE,-0.00314387907313599,0.0354138028006251,-0.0887755288760036,3078.75500638382,0.929266080036674,0.929266080036674,-0.0725809550423188,0.0662931968960469,-0.00314387907313599
"TIB4Cue_vs_SoundOnly","central_delta_spindle",3097,28,0,FALSE,-0.0316393844172553,0.0359383555582262,-0.880379302998273,3094.91572314092,0.378722221386367,0.865650791740266,-0.102104824530399,0.0388260556958883,-0.0316393844172553
"TIB4Cue_vs_SoundOnly","posterior_delta_spindle",3097,28,0,FALSE,0.0189970108666504,0.0359488993978771,0.528444853245554,3094.9992207708,0.597228502311132,0.929266080036674,-0.0514891021335328,0.0894831238668335,0.0189970108666504
"TIB4Cue_vs_SoundOnly","right_temporal_spindle_peak_freq",3097,28,0,FALSE,0.00967836957974784,0.0349021348271793,0.277300217527411,3073.49295820613,0.781568241533146,0.929266080036674,-0.0587555072604727,0.0781122464199684,0.00967836957974784
"TIB4Cue_vs_SoundOnly","left_temporal_spindle_peak_freq",3097,28,0,FALSE,0.034655029807687,0.0348815074744003,0.993507228238931,3073.65928642351,0.320541034578625,0.854776092209667,-0.0337384007785771,0.103048460393951,0.034655029807687
"TIB4Cue_vs_SoundOnly","frontal_central_so_spindle",3097,28,0,FALSE,-0.0489645120573637,0.0351773619385917,-1.39193246335072,3077.18365897552,0.164043443110133,0.656173772440534,-0.117938004049254,0.0200089799345263,-0.0489645120573637
"TIB4Cue_vs_SoundOnly","right_temporal_so_spindle",3097,28,0,FALSE,-0.00553889699433642,0.0358320428307093,-0.154579436637349,3086.92988353804,0.877162987710246,0.929266080036674,-0.0757959575772536,0.0647181635885807,-0.00553889699433642
"TIB4Cue_vs_SoundOnly","posterior_sigma_burst_amp",3097,28,0,FALSE,0.0214302680410881,0.0351992377315295,0.608827617363204,3077.76234382335,0.542683638077411,0.929266080036674,-0.0475861114820916,0.0904466475642678,0.0214302680410881
"TIB4Cue_vs_SoundOnly","left_temporal_delta_spindle",3097,28,0,TRUE,-0.0137932270672796,0.0359482793025523,-0.383696447643332,3095.00000005112,0.701229801029964,0.929266080036674,-0.0842781242205395,0.0566916700859803,-0.0137932270672796
"TIB4Cue_vs_SoundOnly","right_temporal_delta_spindle",3097,28,0,TRUE,-0.0271896576814365,0.0359458119127125,-0.75640683113408,3095.00000004834,0.449462884059492,0.898925768118984,-0.0976697169475298,0.0432904015846568,-0.0271896576814365
"TIB4Cue_vs_SoundOnly","central_aperiodic",3097,28,0,FALSE,0.202243667476669,0.0345385470277819,5.85559280516314,3073.41448486695,5.25514746990301e-09,8.40823595184481e-08,0.134522689690689,0.269964645262648,0.202243667476669
